Q23013170,"Eleri Mills","Welsh artist (born 1955)"
Q23059455,"Doris Gubbins","Welsh table tennis player"
Q2322261,"Rob Brydon","Welsh actor, comedian, writer"
Q23309977,"Kathy Jones",
Q234174,"Marina Diamandis","Welsh recording artist and singer-songwriter"
Q2346871,"Steve Brace","British athlete"
Q23511510,"Catherine Glyn Davies","Welsh historian of philosophy and linguistics, and a translator"
Q2355882,"Stuart Cable","British musician"
Q23562794,"John H. Beynon","Welsh chemist and physicist"
Q23615727,"William Field Lloyd","Australian politician"
Q23646411,Gorran,"Welsh saint"
Q23681098,"Llewela Davies","Welsh pianist and composer"
Q23681122,"Mary Wynne Warner","Welsh mathematician"
Q2369186,"Emily Elizabeth Constance Jones","British philosopher"
Q23691969,"Louis Hunt","cricketer (1908-2002)"
Q23696663,"Lee Gaze","Welsh musician"
Q23721875,"Shelley Miranda Barrett","Welsh actor"
Q23731514,"Elen Rhys",actress
Q23731532,"Kate Lamb","Welsh actor"
Q23752368,"John Rowlands","Welsh antiquarian and educator, called ""Giraldus"""
Q23762604,"Tyler Rees","Welsh snooker player"
Q23770381,"Luke Garrett","Welsh rugby union player (1995-)"
Q23812726,"Rhian Edwards","Welsh poet"
Q23833023,"Lowri Gwilym","Welsh radio and television producer"
Q2383305,"T. H. Parry-Williams","Welsh poet, author and scholar"
Q2383873,"Cadafael Cadomedd ap Cynfeddw",
Q23856670,"Ellis Pierce","author of historical romances and bookseller"
Q2386801,"Ian Watkins","Welsh former Lostprophets musician, singer, paedophile and convicted attempted child rapist"
Q23892568,Aelrhiw,"6th century Welsh Saint"
Q23900940,"Emilia Baeyertz","Welsh Christian evangelist,"
Q23901617,"Tali Esen Morgan","Welsh-born American conductor, composer, and publisher"
Q23907663,Elfan,"2nd century Welsh saint"
Q23924666,"Thomas Roberts","Welsh pastor of the XXth century"
Q23926091,"William Pritchard","bookseller, bookbinder, publisher and stationer; High Street, Caernarvon; fl. 1828-1858"
Q23927294,Callwen,"6th century Welsh saint (female)"
Q23945387,"Brian Andrew Hills","physiologist and decompression researcher"
Q23988324,"Alfred Weeks Szlumper","chief engineer"
Q23988345,"Margaret Townsend Jenkins","Welsh-born social reformer and educator in Chile and Canada"
Q23988363,"Anne Ceridwen Rees","Welsh physician"
Q24004676,"Billy Jenkins","Welsh rugby union player (1886-1956)"
Q24004679,"Harold Thomas","Welsh rugby union player"
Q24006201,"Jane Aaron","educator (*1951)"
Q24007014,"Novo Amor","Welsh singer-songwriter"
Q24007087,"Cerys Hale","Welsh rugby player"
Q24007174,"Shona Powell Hughes","Welsh rugby player"
Q24007306,"Megan York","Welsh rugby player"
Q24007470,"Bethan Dainton","Welsh Rugby Union player"
Q24007472,"Ffion Bowen","American-football player (1991-)"
Q24036579,"John Rogers Rees","British banker and writer"
Q24039661,"Lee Waters","Welsh politician (born 1976)"
Q24040034,"Hefin David","Welsh politician (born 1977)"
Q24041564,"Neil McEvoy","Welsh politician (born 1970)"
Q24045680,"Vikki Howells","Welsh politician"
Q24050178,"Jayne Bryant","Welsh politician and Assembly Member"
Q24068717,"John Treble","printer, bookseller, wine merchant; Pembroke; fl. 1812-1828"
Q24073707,"David Powell",painter
Q24175038,"Geoffrey Dhenin","Royal Air Force air marshal"
Q24183384,"Watkin George","carpenter, engineer and ironmaster from south east Wales"
Q24183454,"Arthur Drabble","cricketer (1864-1931)"
Q24195073,"William Bridge","publisher, bookseller, print seller and librarian in Conwy"
Q24203440,"Reese J. Llewellyn",
Q24203499,"Owen Daniel","Australian politician"
Q2422650,"Desmond Barrit","British actor"
Q24238815,"William Williams","bookseller; Monmouth; fl. 1753-57"
Q24238816,"Owen Tudor","publisher, printer and bookseller; 23 Agincourt Square, Monmouth; fl. 1783-1807"
Q24238822,"William Williams","publisher; Tremadoc"
Q24238824,"William Thomas","printer; High Street, Crickhowell"
Q2424156,"Thomas Garnet Henry James","British egyptologist"
Q2424681,"Thomas Henry","Welsh surgeon and apothecary"
Q24249568,"James Hiley Morgan","publisher, printer, bookbinder, bookseller; Minerva Press, 3 High Street, Abergavenny"
Q24249590,"Thomas Painter","printer and bookseller; 18 High Street, Wrexham; fl. 1833-55"
Q24249604,"D. LL. Lewis","publisher; Market street and High Street, Rhyl; d. 1893"
Q2426055,"Thomas McKenny Hughes","British geologist"
Q24266615,"William Waters","printer in Carmarthen (1843-1910)"
Q24287037,"Dafydd Parri","Welsh novelist"
Q24287038,"Eirwen Gwynn","Welsh nationalist, writer, teacher and scientist (1916-2007)"
Q24287040,"Alvis Richards",
Q24287250,"Richard Owens","Welsh architect"
Q24292009,"Sir James Hamlyn-Williams, 3rd Baronet","British Member of Parliament (1790-1861)"
Q2429227,"Sion Bebb","professional golfer"
Q24300868,"Ellis Powell Jones","chemist, published prints; High Street, Rhyl; fl. 1850-77"
Q24334379,"Thomas Aneurin Roberts","chemist and postmaster; High Street, Conway (1824-1892)"
Q2435894,"Elizabeth of Rhuddlan","English princess, born in Wales"
Q24405244,"Gareth Bennett","British politician"
Q2442492,"Tony Chappel","British snooker player"
Q2446658,"Nicky Wire","Welsh singer, bassist and lyricist"
Q2449206,Gwladys,"Welsh saint"
Q2454709,"Gruffydd ap Rhydderch","King of Kingdom of Gwent"
Q24548833,"Chris Knight","rugby player"
Q24555718,Maches,"6c Welsh saint"
Q24558760,"Gwawr ach Brychan","Welsh female saint"
Q24571914,"Martyn Davies","Welsh former child actor and meteorologist"
Q24572561,"Morfydd Clark","Welsh actress"
Q24573112,"David Lewis","Welsh barrister and landowner"
Q24575189,"Ffion Moyle",
Q24578824,"William Leonard Baker","Australian politician"
Q24579303,"Trevor Grierson","cricketer (1849-1913)"
Q24635388,"Gwen ferch Cynyr","queen of Cerniw and saint"
Q24636375,"Ryan Stewart",
Q24702621,"Tom Doran","Welsh boxer"
Q24718677,"James William Webb-Jones","cricketer (1904-1965)"
Q24735292,"Judith Ann Tucker",researcher
Q24743050,"David Jones Roderic","printer and publisher, Llandovery (1831-1861)"
Q2476943,Brioc,"5th century Welsh abbot of Saint-Brieuc in Brittany and Llandyfriog  in Wales"
Q24809752,"Abdullah Izzidien",
Q2483726,Cadfael,"fictional character"
Q248414,"Gary Jones","British-born Canadian actor"
Q24845756,"John Williams",politician
Q24845844,"Thomas Foley","Australian politician"
Q24845876,"John Fowke","New Zealand cricketer (1858-1938)"
Q2487289,Non,"Welsh saint; mother of St David"
Q2487300,Cunedda,"progenitor of the Welsh royal house of Gwynedd"
Q2488951,"Cynog son of Brychan","Welsh saint"
Q2492966,"John Williams","Welsh recipient of the Victoria Cross"
Q24973140,"Tutglud ach Brychan","5th c Welsh saint"
Q2501319,"Aaron of Aleth","Abbot, hermit, monk"
Q25161,"Roald Dahl","British novelist, short story writer, poet, fighter pilot, and screenwriter"
Q25172152,"Charlie Oliver","Australian politician"
Q25189322,"Jack Jones","musical artist"
Q2519809,"Hywel ab Edwin","king of Deheubarth"
Q2523538,"Marc Jenkins","Welsh triathlete"
Q2523705,"Richard Maldwyn Price","British conductor, composer and musicologist (1890-1952)"
Q2527369,"Owain Ddantgwyn","Welsh sovereign"
Q2530628,"Hywel Simons","British actor"
Q25342380,"Mitch Fenner","United Kingdom's gymnast and sports broadcaster"
Q25353794,"Henry Folland",industrialist
Q2535993,"Morgan ap Pasgen","King of the Kingdom of Powys"
Q2536632,"W. Aubrey Thomas","American politician"
Q2537433,"Dic Jones","British bard"
Q25558093,"Jennifer Jones","Welsh actress, journalist and presenter"
Q25558144,"Eiry Palfrey","Welsh actress, television presenter and producer"
Q25558156,"Alice Hooker-Stroud",
Q25558258,"R. Alun Evans","Welsh author, broadcaster and minister"
Q25558299,"Dyfan Rees",actor
Q25558312,"Siôn Humphreys","Welsh film and television director and producer"
Q25558366,"Owen Jones Ellis Nanney","Welsh soldier and politician"
Q25559009,"Richard Richards","Welsh politician (1787–1860)"
Q25559011,"Ifan Gruffydd","Welsh comedian, actor and farmer"
Q25559026,"Tony Lewis","Welsh goldsmith"
Q2563910,"Saint Lunaire",
Q2567288,"John Williams","Welsh snooker referee"
Q257113,"Barry Flanagan","British sculptor"
Q2575137,"Cynan Garwyn","King of Powys, Wales"
Q2575163,"Cadell Ddyrnllwg","King of Kingdom of Powys"
Q25753062,"Reginald Wynn Owen","Welsh architect"
Q25756678,"Owen Morgan",cricketer
Q2580155,"William Nott","British general"
Q25858076,"Scott Ellaway","Welsh conductor"
Q2591794,"Wolfgang Wirth","German pharmacologist"
Q25927690,"Chris Barber","author, hill walker, mountaineer, caver, and publisher from south east Wales"
Q26000446,"Sir Edward Pryce-Jones, 1st Baronet","Welsh politician"
Q2603439,"Alan Davies","Welsh rugby union coach"
Q2605207,Paulinus,"Welsh 5c saint"
Q2607632,"Nigel Edwards","Amateur golfer"
Q260772,"Guto Bebb","Welsh politician who was an MP for Aberconwy (born 1968)"
Q26132127,"Kiran Carlson",cricketer
Q26132784,"Nigel Hurley",
Q2614469,"Cadwgan ap Bleddyn","Prince of Powys"
Q26156061,"Tecwyn Ellis","educationalist, scholar and author"
Q26210728,"Jonathan Worsley","Welsh darts player"
Q26219700,"Jasmine Joyce","Welsh rugby player"
Q2624753,"William Morgan","Bishop of Llandaff and of St Asaph, and translator of the Bible into Welsh"
Q26253823,"Einir Jones","Welsh poet, eisteddfod judge and translator"
Q262827,"Thomas Lewis","British cardiologist"
Q26293080,"Elfed Roberts","chief executive of the National Eisteddfod of Wales"
Q2631222,"Jason James","British singer"
Q2631966,"Beli ap Rhun","King of Gwynedd"
Q2639031,"Saint Illtud","6th century Welsh saint"
Q2639805,"Philip Parkin","professional golfer"
Q264107,"Isaac Daniel Hooson","British writer"
Q2641401,"Alex Jones","Welsh racing driver"
Q264964,"Kevin Brennan","Welsh politician and MP (born 1959)"
Q266189,"Hywel Williams","Welsh politician and MP for Arfon (born 1953)"
Q2662059,"Harold Thomas","Welsh rugby union and rugby league footballer (1914–1989)"
Q2663895,"Rosemarie Frankland","Beauty pageant contestant, actress"
Q266434,"Roger Williams","Welsh politician (born 1948)"
Q266548,"Stephen Williams","British politician (born 1966)"
Q26689655,"Stephen Morris","Welsh athlete, runner"
Q2670597,"Hywel ap Rhodri Molwynog","King of Gwynedd; reigned 816–825."
Q2670608,"Caradog ap Meirion","King of Gwynedd"
Q2670643,"Cynan Dindaethwy","King of Gwynedd"
Q26775230,"Jack Roberts","Welsh rugby union player"
Q268030,"Alun Cairns","Welsh politician and MP (born 1970)"
Q26809927,"Pryce Lewis","Welsh born American spy"
Q2682630,"Jet Naessens","Belgian actress"
Q26838543,"Sean Griffiths",cricketer
Q26882238,"Peter Edwards","Welsh television director and producer"
Q268875,"Herbert Bowden, Baron Aylestone","British politician (1905-1994)"
Q26923804,"Brad Thyer","rugby player"
Q26923806,"Harrison Keddie","Welsh rugby union player (1996-)"
Q26923859,"Regan Grace","Welsh rugby union and rugby league footballer"
Q26924475,"Jodie Grinham","British Paralympic archer"
Q2693197,"Phillip Price","professional golfer"
Q26985252,"Frederick Kynaston Barnes","British naval architect"
Q269853,"Robert Buckland","British politician (born 1968)"
Q27036912,Cwyfan,"Welsh saint"
Q27044313,"Samuel Jones","Welsh broadcaster"
Q27048869,"Dafydd Hughes","rugby player"
Q27048999,"Keelan Giles","Rugby Player"
Q27049185,"Connor Farrer","Welsh rugby league footballer"
Q27057756,"Jonny Clayton","'The Ferret'"
Q2705883,"Rhun Hir ap Maelgwn","King of Gwynedd"
Q2705901,"Gruffydd ap Rhys","Prince of Deheubarth, died 1137"
Q27062496,"Audrey Williams","Welsh archaeologist"
Q27067380,Hychan,
Q2706947,"Grant Nicholas","British singer"
Q27070262,"Greg Holmes",cricketer
Q2707044,"Christopher Dawson","British historian"
Q2707095,"Idwal Foel","10th-century King of Gwynedd in Wales"
Q27074279,"Gwyn Llewelyn","Welsh journalist and broadcaster"
Q27140407,"Siân Eirian Rees Davies","Welsh author"
Q2717838,"T. Llew Jones","Welsh children's writer"
Q27206071,"Sam Jones",
Q27230339,"Twm Elias","Welsh naturalist, academic and author"
Q272539,"Lucy Walter","mistress of King Charles II of England (1630-1658)"
Q2738520,"Owain Lawgoch","Prince of Gwynedd and Wales"
Q274339,"Gwen John","Welsh painter (1876-1939)"
Q2745179,"Ednyfed Fychan","Welsh soldier"
Q2745954,"Jim Burns","British artist (1948-2016)"
Q27460689,"Cyril Percival","Welsh actor"
Q27493455,"Richard Rees","printer and bookbinder in Abergavenny; active 1840-1852"
Q27553597,"Elen Roger Jones","actress and teacher"
Q27578364,"Gruffudd ap Rhys","Welsh nobleman (fl. 1256–1267)"
Q2758802,Carantoc,"5-6th-century abbot, confessor, and Welsh saint"
Q27661910,"Harry Toft","Welsh rugby union and rugby league footballer (1881-1951)"
Q27666574,"Ruth Martin-Jones","British long jumper, pentathlete and sprinter"
Q27671285,"Howard Davies","British sprinter"
Q27733807,"Jed Davies","Welsh football coach"
Q278125,"Thomas Mathews","British officer of the Royal Navy from Wales (1676-1751)"
Q2782139,"Caradog ap Gruffydd","Prince of Kingdom of Gwent"
Q2782424,"Lisa Scott-Lee","British singer"
Q27830996,"Courtney Davies","Welsh rugby league footballer (1994-)"
Q27861839,"Gareth Powell","british-born Australian author"
Q27861969,"Henry Morris Pryce-Jones","Welsh soldier"
Q27863975,"Ed Thomas","Welsh playwright, TV-producer and TV-director"
Q27876622,"Frances Môn Jones","harpist and teacher"
Q27876643,"Dora Herbert Jones","singer and administrator"
Q27898910,"Penelope Fillon","British lawyer"
Q27922515,"Michael Forrest",
Q27924032,Marchell,"Welsh saint"
Q27967959,"William Roberts (Nefydd)","baptist minister"
Q27969091,"Isabel Jones",
Q27970129,"Owen John Owen","Welsh printer and publisher, choir conductor and eisteddfod compère"
Q27971201,"John Phillips","Welsh printer and poet"
Q27971230,"John Pugh","Welsh lawyer and poet"
Q27972061,"William Thomas","Welsh poet and printer"
Q27972098,"Hugh Williams","Welsh printer and journalist"
Q27981378,"Jonny Duddle","author and illustrator"
Q27996652,Inabwy,"Welsh bishop and saint who lived in the sixth and seventh century"
Q28026574,"Rowland Hughs","bookseller in Llanddaniel-fab and Beaumaris"
Q28026576,"Onesephorus Wright","bookseller in Llannerchymedd"
Q28026577,"Mary Owens","bookseller in Llannerchymedd"
Q28026597,"John Roberts","bookseller and bookbinder in Holyhead; almanac-maker"
Q28028547,"Lewis Moore","printer in Holyhead"
Q28033176,"Owen ap Hugh","tanner in Beaumaris"
Q28035448,"Cecil Smith","athletics coach and builder, publisher"
Q28045011,"Terry James",
Q28047804,"Luke Price","Welsh rugby union player"
Q28105546,"John K. Davies","British classical historian, academic"
Q28151696,"Rhian Griffiths","Welsh darts player"
Q2827000,"Anna Maria Bennett","Welsh novelist writing in English"
Q28312659,Ilan,
Q28325577,"Patrick Thomas","Welsh clergyman"
Q2833520,"Eric Burden","British darts player"
Q28416510,"William Warrington","historian and dramatist"
Q2846634,"Andrew House","British businessman"
Q28474403,"Billy McBryde","rugby player"
Q28507802,"Ann Sutherland","lawn and indoor bowls player from Wales"
Q28523296,"David Dilwyn John",
Q28533369,"Lucie Jones","British singer"
Q2857635,"Paul Amos","Welsh actor"
Q28598472,"George Lewis","bookseller in Brecon"
Q28600790,"Mary Williams","French scholar"
Q28648606,"John Robinson","stationer and bookbinder in Brecon"
Q28681406,Kew,"5th c Welsh and Cornish female saint"
Q2870954,"Augusta Hall, Baroness Llanover","British noble"
Q28731295,"Sion Trevor","Welsh landowner (d. 1589) from Trefalyn"
Q28736423,"Joe Holt","Welsh track cyclist"
Q28752872,"Doreen Vermeulen-Cranch","university teacher"
Q28756399,"Matthew Aubrey","Welsh rugby union player"
Q28853738,"Ifan Phillips","Welsh rugby union player"
Q2885757,"Barry Jones","British boxer"
Q28861574,"Ryan Conbeer","Welsh rugby union player"
Q28867970,"Declan Smith","rugby player"
Q2899803,"Berwyn Price","British hurdler"
Q29023727,"Brychan Llŷr",
Q2903257,"Bill James","British writer"
Q290367,"John Owen","bishop of St David's"
Q29092,"Desmond Llewelyn","Welsh actor (1914-1999)"
Q2911997,"Thomas Jones","Welsh mathematician"
Q2913295,"David Evans","Welsh squash player"
Q29207044,"William Gordon Curtis Morgan","(1892-) Welsh Writer"
Q2928498,"Burke Shelley","Welsh musician"
Q2928553,"Burnett Bolloten","British writer and scholar"
Q29343727,"Richard Pugh","guide to Cadair Idris; active c. 1827-1871"
Q29530484,"Adrian Meikle","Welsh male curler"
Q29530855,"Julie Keeble",
Q29545039,"Michael J. Lewis","British composer"
Q29578277,"John Huw Lewis","printer and publisher"
Q29643012,"Jack Howell","consultant physician"
Q2966604,"Chris Jenkins","visual effects artist and film producer"
Q296716,"Wayne David","Welsh politician and MP (born 1957)"
Q296920,"Glyn Davies","Welsh politician and MP (born 1944)"
Q298276,"Michael Sheen","Welsh actor"
Q2989294,"Howell Davis","Welsh pirate"
Q2989336,"Shaheen Jafargholi","British actor"
Q29904560,"John Potter","printer in Haverfordwest"
Q29907467,"Seb Davies","Welsh rugby union player"
Q29907504,"Rhun Williams","rugby player"
Q29919894,"Stephen Williams","Welsh architect and interior designer"
Q2993516,Conogan,"Welsh-Breton saint"
Q29948275,"Rosalind Rusbridge","teacher and peace campaigner"
Q29952260,"Brett Johns","Welsh mixed martial arts (MMA) fighter"
Q29956338,"D. F. Brewer",
Q3002796,"Crispin Nash-Williams","British mathematician"
Q30069829,"Roger Moore",
Q3008718,"Cynan ab Iago","Prince of Kingdom of Gwynedd"
Q30105096,"John Thomas","printer and newspaper proprietor in Tredegar"
Q30118010,"Rhodri Lovett",
Q30122028,"Rhys Thomas","Welsh film director"
Q30122913,"Michael Lieber","British actor"
